Approved symbol	Ensembl gene ID	Previous symbols	Alias symbols
A1BG	ENSG00000121410
A1BG-AS1	ENSG00000268895	NCRNA00181, A1BGAS, A1BG-AS	FLJ23569
A1CF	ENSG00000148584		ACF, ASP, ACF64, ACF65, APOBEC1CF
A1S9T
A2M	ENSG00000175899		FWP007, S863-7, CPAMD5
A2M-AS1	ENSG00000245105
A2ML1	ENSG00000166535	CPAMD9	FLJ25179, p170
A2ML1-AS1	ENSG00000256661
A2ML1-AS2	ENSG00000256904
A2MP1		A2MP
A2MR
A2MRAP
A3GALT2	ENSG00000184389	A3GALT2P	IGBS3S, IGB3S
A4GALT	ENSG00000128274	P1	A14GALT, Gb3S, P(k)
A4GNT	ENSG00000118017		alpha4GnT
A12M1
A12M2
A12M3
A12M4
AA		AA
AAAS	ENSG00000094914
AABT
AAC1
AAC2
AACS	ENSG00000081760		FLJ12389, SUR-5, ACSF1
AACSP1	ENSG00000250420	AACSL
AACT
AADAC	ENSG00000114771		DAC, CES5A1
AADACL2	ENSG00000197953		MGC72001
AADACL2-AS1	ENSG00000242908
AADACL3	ENSG00000188984		OTTHUMG00000001887
AADACL4	ENSG00000204518		OTTHUMG00000001889
AADACP1	ENSG00000240602
AADAT	ENSG00000109576		KATII, KAT2, KYAT2
AAGAB	ENSG00000103591		FLJ11506, p34
AAK1	ENSG00000115977		KIAA1048, DKFZp686K16132
AAMDC	ENSG00000087884	C11orf67	PTD015, FLJ21035, CK067
AAMP	ENSG00000127837
AANAT	ENSG00000129673		SNAT
AAR2	ENSG00000131043	C20orf4	bA234K24.2
AARD	ENSG00000205002	C8orf85	LOC441376
AARS1	ENSG00000090861	AARS	CMT2N, AlaRS
AARS1P1	ENSG00000249038	AARSP1
AARS2	ENSG00000124608	AARSL	KIAA1270, bA444E17.1
AARSD1	ENSG00000266967		MGC2744, AlaXp
AARSD1P1	ENSG00000234969
AASDH	ENSG00000157426		NRPS998, LYS2, ACSF4
AASDHPPT	ENSG00000149313		LYS5, CGI-80, AASD-PPT, ACPS
AASDHPPT-AS1	ENSG00000254433
AASS	ENSG00000008311		LORSDH, LKRSDH, LKR/SDH
AATBC	ENSG00000215458
AATF	ENSG00000275700		DED, CHE-1, CHE1, BFR2
AATK	ENSG00000181409		AATYK, KIAA0641, LMTK1, LMR1, AATYK1, PPP1R77
AAVS1			AAV
ABALON			INXS
ABAT	ENSG00000183044		GABAT, GABA-T
ABC1
ABC2
ABC3
ABC7
ABC50
ABCA1	ENSG00000165029	ABC1, HDLDT1	TGD
ABCA2	ENSG00000107331	ABC2
ABCA3	ENSG00000167972	ABC3	ABC-C, EST111653, LBM180
ABCA3P1	ENSG00000257408
ABCA4	ENSG00000198691	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3
ABCA5	ENSG00000154265		EST90625
ABCA6	ENSG00000154262		EST155051
ABCA7	ENSG00000064687		ABCX
ABCA8	ENSG00000141338		KIAA0822
ABCA9	ENSG00000154258		EST640918
ABCA9-AS1	ENSG00000231749
ABCA10	ENSG00000154263		EST698739
ABCA11P	ENSG00000251595	ABCA11	EST1133530, FLJ14297
ABCA12	ENSG00000144452	ICR2B	DKFZP434G232, LI2
ABCA13	ENSG00000179869		FLJ33876, FLJ33951
ABCA15P	ENSG00000189149	NCRNA00169, CRYM-AS1	FLJ41766
ABCA17P	ENSG00000238098
ABCB1	ENSG00000085563	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20, p-170, PGY1
ABCB2
ABCB3
ABCB4	ENSG00000005471	PGY3, MDR3	MDR2, PFIC-3, GBD1
ABCB5	ENSG00000004846		EST422562, ABCB5beta, ABCB5alpha
ABCB6	ENSG00000115657		EST45597, umat, MTABC3
ABCB7	ENSG00000131269	ABC7	EST140535, Atm1p, ASAT
ABCB8	ENSG00000197150		EST328128, M-ABC1, MABC1, MITOSUR
ABCB9	ENSG00000150967		EST122234
ABCB10	ENSG00000135776		EST20237, M-ABC2, MTABC2
ABCB10P1	ENSG00000274099	ABCB10P, ABCB10P2	M-ABC2, MABC2
ABCB10P2
ABCB10P3	ENSG00000261524
ABCB10P4	ENSG00000260053
ABCB11	ENSG00000073734	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4
ABCC1	ENSG00000103222	MRP, MRP1	GS-X
ABCC2	ENSG00000023839	CMOAT	DJS, MRP2, cMRP
ABCC3	ENSG00000108846		MRP3, cMOAT2, EST90757, MLP2, MOAT-D
ABCC4	ENSG00000125257		MRP4, EST170205, MOAT-B, MOATB
ABCC5	ENSG00000114770		MRP5, SMRP, EST277145, MOAT-C
ABCC5-AS1	ENSG00000223882
ABCC6	ENSG00000091262	ARA, PXE	MRP6, EST349056, MLP1, URG7
ABCC6P1	ENSG00000256340
ABCC6P2	ENSG00000255277
ABCC7
ABCC8	ENSG00000006071	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2
ABCC9	ENSG00000069431		SUR2, CMD1O
ABCC10	ENSG00000124574		EST182763, MRP7, SIMRP7
ABCC11	ENSG00000121270		MRP8
ABCC12	ENSG00000140798		MRP9
ABCC13	ENSG00000243064		PRED6, C21orf73, ABCC13P
ABCD1	ENSG00000101986	ALD	AMN, ALDP, adrenoleukodystrophy
ABCD1P1
ABCD1P2	ENSG00000215151		bA453N3.6
ABCD1P3	ENSG00000261233
ABCD1P4	ENSG00000225293
ABCD1P5	ENSG00000214330
ABCD2	ENSG00000173208	ALDL1	ALDR, ALDRP
ABCD3	ENSG00000117528	PXMP1	PMP70, ZWS2
ABCD4	ENSG00000119688	PXMP1L	PMP69, P70R, EST352188
ABCE1	ENSG00000164163	RNASEL1, RNASELI, RNS4I	RLI, OABP, RLI1
ABCE1P1	ENSG00000224785
ABCE1P2	ENSG00000226723
ABCE1P3	ENSG00000236792
ABCF1	ENSG00000204574	ABC50	EST123147
ABCF1-DT
ABCF2	ENSG00000033050		EST133090, ABC28, M-ABC1, HUSSY-18
ABCF2-H2BK1	ENSG00000285292	ABCF2-H2BE1
ABCF2P1	ENSG00000242159
ABCF2P2	ENSG00000228769
ABCF3	ENSG00000161204		EST201864
ABCG1	ENSG00000160179		ABC8
ABCG2	ENSG00000118777		EST157481, MXR, BCRP, ABCP, CD338
ABCG4	ENSG00000172350		WHITE2
ABCG5	ENSG00000138075		STSL
ABCG8	ENSG00000143921		GBD4
ABCR
ABHD1	ENSG00000143994		LABH1, FLJ36128
ABHD2	ENSG00000140526		LABH2
ABHD3	ENSG00000158201		LABH3
ABHD4	ENSG00000100439		FLJ12816
ABHD5	ENSG00000011198		CGI-58, NCIE2
ABHD6	ENSG00000163686
ABHD8	ENSG00000127220		FLJ11743, MGC14280, MGC2512
ABHD10	ENSG00000144827		FLJ11342
ABHD11	ENSG00000106077	WBSCR21	PP1226
ABHD11-AS2
ABHD12	ENSG00000100997	C20orf22	DKFZP434P106, dJ965G21.2, BEM46L2, ABHD12A
ABHD12B	ENSG00000131969	C14orf29	BEM46L3
ABHD13	ENSG00000139826	C13orf6	bA153I24.2, FLJ14906, BEM46L1
ABHD14A	ENSG00000248487		DKFZP564O243, DORZ1
ABHD14A-ACY1	ENSG00000114786
ABHD14B	ENSG00000114779		MGC15429, CIB
ABHD15	ENSG00000168792
ABHD15-AS1	ENSG00000264031		linc-TP53I13, lnc-TP53I13
ABHD16A	ENSG00000204427	BAT5	NG26, D6S82E
ABHD16B	ENSG00000183260	C20orf135	dJ591C20.1
ABHD16B-AS1	ENSG00000268858
ABHD17A	ENSG00000129968	C19orf27, FAM108A1	MGC5244
ABHD17AP1	ENSG00000198658	FAM108A2, ABHD17AP2, FAM108A3, FAM108A11P, FAM108A3P	C1orf47
ABHD17AP2		FAM108A3, FAM108A11P, FAM108A3P
ABHD17AP3	ENSG00000250536	FAM108A4, FAM108A4P
ABHD17AP4	ENSG00000229107	FAM108A5, FAM108A5P
ABHD17AP5	ENSG00000263366	FAM108A6, FAM108A6P
ABHD17AP6	ENSG00000226981	FAM108A7P
ABHD17AP7	ENSG00000260864	FAM108A8P
ABHD17AP8	ENSG00000260540	FAM108A9P
ABHD17AP9	ENSG00000261536	FAM108A10P
ABHD17B	ENSG00000107362	C9orf77, FAM108B1	CGI-67
ABHD17C	ENSG00000136379	FAM108C1
ABHD18	ENSG00000164074	C4orf29	FLJ21106
ABI1	ENSG00000136754	SSH3BP1	E3B1, ABI-1
ABI1P1	ENSG00000271484	SSH3BP1P, ABI1P
ABI2	ENSG00000138443		ABI-2, AIP-1, ABI2B, AblBP3, argBPIA, SSH3BP2
ABI3	ENSG00000108798		NESH, SSH3BP3
ABI3BP	ENSG00000154175		NESHBP, DKFZP586L2024, TARSH
ABITRAM	ENSG00000119328	C9orf6, FAM206A	CG-8, FLJ20457, Simiate
ABITRAMP1	ENSG00000251106	FAM206BP
ABL1	ENSG00000097007	ABL	JTK7, c-ABL, p150
ABL2	ENSG00000143322	ABLL	ARG
ABLIM1	ENSG00000099204	LIMAB1, ABLIM	abLIM, limatin
ABLIM2	ENSG00000163995		KIAA1808
ABLIM2-DT	ENSG00000290015
ABLIM3	ENSG00000173210		KIAA0843
ABO	ENSG00000175164		A3GALNT, A3GALT1
ABR	ENSG00000159842		MDB
ABR-AS1	ENSG00000235361
ABRA	ENSG00000174429		STARS
ABRACL	ENSG00000146386	C6orf115	PRO2013, HSPC280, Costars
ABRAXAS1	ENSG00000163322	CCDC98, FAM175A	FLJ13614, ABRA1, ABRAXAS
ABRAXAS1P1	ENSG00000213431
ABRAXAS1P2	ENSG00000253384
ABRAXAS2	ENSG00000165660	KIAA0157, FAM175B	Em:AC068896.4, ABRO1
ABT1	ENSG00000146109		Esf2
ABT1P1	ENSG00000250496
ABTB1	ENSG00000114626		BPOZ, EF1ABP, Btb3, BTBD21, BPOZ-2
ABTB2	ENSG00000166016		DKFZP586C1619, BTBD22, ABTB2A
ABTB3	ENSG00000151136	BTBD11	FLJ33957, ABTB2B
ACAA1	ENSG00000060971		Lnc-Myd88
ACAA2	ENSG00000167315		DSAEC
ACAA2P1	ENSG00000233585
ACACA	ENSG00000278540	ACAC, ACC	ACC1, ACC-alpha, ACCA, ACCalpha, ACACalpha, Acac1, hACC1
ACACB	ENSG00000076555		HACC275, ACC2, ACCB, ACC-beta, ACCbeta, ACACbeta
ACAD
ACAD8	ENSG00000151498
ACAD9	ENSG00000177646		NPD002, MGC14452
ACAD9-DT	ENSG00000287110
ACAD10	ENSG00000111271		MGC5601
ACAD11	ENSG00000240303		FLJ12592
ACADL	ENSG00000115361		LCAD, ACAD4
ACADM	ENSG00000117054		MCAD, MCADH, ACAD1
ACADS	ENSG00000122971		SCAD, ACAD3
ACADSB	ENSG00000196177		SBCAD, ACAD7
ACADVL	ENSG00000072778		VLCAD, LCACD, ACAD6
ACAN	ENSG00000157766	MSK16, CSPG1, AGC1	CSPGCP
ACAP1	ENSG00000072818	CENTB1	KIAA0050
ACAP2	ENSG00000114331	CENTB2	KIAA0041, CNT-B2
ACAP2-IT1	ENSG00000229325
ACAP3	ENSG00000131584	CENTB5	KIAA1716
ACAT1	ENSG00000075239	ACAT	THIL
ACAT2	ENSG00000120437
ACBD3	ENSG00000182827	GOLPH1, GOCAP1	GCP60, PAP7
ACBD3-AS1	ENSG00000234478		RP11-275I14.4
ACBD4	ENSG00000181513		FLJ13322
ACBD5	ENSG00000107897		DKFZp434A2417, KIAA1996
ACBD6	ENSG00000230124		MGC2404
ACBD7	ENSG00000176244		FLJ38219, bA455B2.2
ACBD7P1	ENSG00000225531
ACBP
ACC
ACCN
ACCPN
ACCS	ENSG00000110455		PHACS, ACS
ACCSL	ENSG00000205126
ACCSLP1	ENSG00000230570
ACD	ENSG00000102977		Ptop, Pip1, Tpp1, Tint1
ACE	ENSG00000159640	DCP1	ACE1, CD143
ACE2	ENSG00000130234		ACEH
ACE2-DT	ENSG00000225833		GS1-594A7.3
ACE3P	ENSG00000224353
ACER1	ENSG00000167769	ASAH3
ACER2	ENSG00000177076	ASAH3L	FLJ41587, ALKCDase2
ACER2P1	ENSG00000180105
ACER3	ENSG00000078124	PHCA	FLJ11238, APHC
ACER3-AS1	ENSG00000254988
ACH
ACHAP
ACHE	ENSG00000087085	YT
ACHM1		RMCH
ACHM2
ACHM3
ACHRD
ACHRG
ACIN1	ENSG00000100813	ACINUS	KIAA0670, fSAP152
ACKR1	ENSG00000213088	FY, DARC	CCBP1, GPD, Dfy, CD234
ACKR2	ENSG00000144648	CMKBR9, CCBP2	CCR10, D6, CCR9
ACKR3	ENSG00000144476	CMKOR1, CXCR7	RDC1, GPR159
ACKR4	ENSG00000129048	CCRL1	CCR11, CCBP2, VSHK1, CCX-CKR, PPR1
ACKR4P1	ENSG00000225415	CCRL1P, CCRL1P1	dJ509I19.4
ACKR5	ENSG00000166856	ADMR, GPR182	hrhAMR, G10D, AM-R
ACLS
ACLY	ENSG00000131473		ATPCL, CLATP, ACL
ACMG
ACMSD	ENSG00000153086
ACNATP	ENSG00000227411	BAATP1
ACO1	ENSG00000122729	IREB1	IRP1, IREBP
ACO2	ENSG00000100412		ACONM
ACO2P1	ENSG00000235485
ACO2P2	ENSG00000235371
ACOD1	ENSG00000102794	IRG1	CAD
ACOT1	ENSG00000184227		ACH2, CTE-1, LACH2
ACOT2	ENSG00000119673		Mte1, ZAP128
ACOT4	ENSG00000177465		FLJ31235, PTE-Ib, PTE2B
ACOT4P1	ENSG00000267142
ACOT6	ENSG00000205669	C14orf42
ACOT7	ENSG00000097021		BACH, ACH1, ACT, CTE-II, LACH1, MGC1126, hBACH
ACOT8	ENSG00000101473	PTE1	hACTE-III, hTE, PTE-2, NAP1
ACOT9	ENSG00000123130		CGI-16, MT-ACT48, ACATE2
ACOT11	ENSG00000162390	THEA	STARD14, BFIT, KIAA0707, BFIT1, THEM1
ACOT12	ENSG00000172497		Cach, THEAL, STARD15
ACOT13	ENSG00000112304	THEM2	HT012
ACOX1	ENSG00000161533		PALMCOX
ACOX2	ENSG00000168306		BRCACOX, BRCOX, THCCox
ACOX3	ENSG00000087008
ACOXL	ENSG00000153093		FLJ11042, ACOX4
ACOXL-AS1	ENSG00000204581
ACP1	ENSG00000143727		HAAP, LMW-PTP, LMWPTP
ACP2	ENSG00000134575		LAP
ACP3	ENSG00000014257	ACPP	ACP-3, PAP, TM-PAP
ACP4	ENSG00000142513	ACPT
ACP5	ENSG00000102575		TRAP, HPAP, TRAcP
ACP6	ENSG00000162836		LPAP, ACPL1
ACP7	ENSG00000183760		FLJ16165, PAPL1, PAPL
ACR	ENSG00000100312
ACRBP	ENSG00000111644		SP32, OY-TES-1, CT23
ACRP1	ENSG00000175509
ACRV1	ENSG00000134940		SPACA2, SP-10, D11S4365
ACS3
